field,type,required,category,desc
id,string,True,ID,고유 식별자
title,string,True,DC,자료 제목
creator,string,True,DC,저자/제작자
subject,string[],False,DC,주제어 리스트
description,string,False,DC,원본 설명·초록
publisher,string,False,DC,발행자
contributor,string,False,DC,공동 저자/번역자
date,string,True,DC,발행일 (YYYY-MM-DD)
type,string,False,DC,DCMI Type 어휘
format,string,False,DC,MIME 타입
identifier,string,False,DC,ISBN/DOI 등
source,string,False,DC,원본 출처
language,string,True,DC,ISO 639-1 (ko/en)
relation,string,False,DC,관계 (isPartOf 등)
coverage,string,False,DC,공간·시간 범위
rights,string,False,DC,권리 자유 표기
summary,string,False,AI,LLM 요약 (Ch.7 §7.4)
keywords,string[],False,AI,추출 키워드 (Ch.5 §5.3)
source_url,string,True,AI,원본 URL
license_code,string,True,AI,CC-BY-4.0 등 표준 코드
chunk_ids,string[],False,AI,청크 ID (Ch.5 §5.4)
embedding_flag,boolean,False,AI,임베딩 처리 완료 여부 (Ch.6 §6.5)
